"name","pval","adj_pval","f_statistic","df1","df2","lfc"
"LLGL2",0.96462626911003,0.99636148018355,0.00196726579746565,1,2249.08218817443,-0.0235068171012083
"MTPAP",0.96483239697202,0.996494233854879,0.00194439068193609,1,2249.08218817443,0.0210128632107583
"FAM193A",0.965028050882805,0.99656353816872,0.00192280190634341,1,2249.08218817443,0.00972011111731091
"NPM2",0.965054715141191,0.99656353816872,0.00191986907771468,1,2249.08218817443,0.07369130104561
"IRF2",0.965353088375076,0.996669123820699,0.00188720366202694,1,2249.08218817443,-0.00706890227260056
"ZMAT1",0.965387215335562,0.996669123820699,0.00188348539387149,1,2249.08218817443,0.0149347325189872
"HDDC3",0.965407082893347,0.996669123820699,0.00188132243617849,1,2249.08218817443,0.0224054317996948
"KIF1B",0.965639022929239,0.996669123820699,0.00185616350284339,1,2249.08218817443,0.00753021394495271
"STK35",0.965668203158045,0.996669123820699,0.00185301028951778,1,2249.08218817443,0.0216114241325073
"RNF4",0.965696288829594,0.996669123820699,0.00184997789030335,1,2249.08218817443,-0.0118890802233582
"WDR3",0.965700275568658,0.996669123820699,0.00184954764524995,1,2249.08218817443,0.0263986613279369
"AREL1",0.965817445598564,0.996709942853906,0.00183692515444683,1,2249.08218817443,0.0128938139986255
"ACY1",0.966081330152323,0.996732497259084,0.00180865596958727,1,2249.08218817443,0.0282919154696359
"SCNM1",0.966192720446434,0.996732497259084,0.00179678896701379,1,2249.08218817443,-0.0139773628279324
"EVA1B",0.966249791757202,0.996732497259084,0.00179072401560369,1,2249.08218817443,0.0103008231029901
"TGOLN2",0.966356655695097,0.996732497259084,0.00177939523954228,1,2249.08218817443,0.00630423361609806
"CA11",0.9664467183718,0.996732497259084,0.00176987555042271,1,2249.08218817443,-0.03114911836719
"BTBD11",0.96645051877472,0.996732497259084,0.00176947440757133,1,2249.08218817443,-0.0477573777335282
"TPM2",0.966481579318884,0.996732497259084,0.00176619759002799,1,2249.08218817443,0.0352455581980697
"TMEM107",0.966499619407718,0.996732497259084,0.00176429579784944,1,2249.08218817443,-0.0180851820799966
"ELK1",0.96669394343223,0.996732497259084,0.00174387515996173,1,2249.08218817443,0.0208692967640861
"TTC4",0.966738526310059,0.996732497259084,0.00173920693897634,1,2249.08218817443,0.018159764971738
"SS18L1",0.966747625019961,0.996732497259084,0.00173825499378147,1,2249.08218817443,-0.0173976337935933
"MT-ND3",0.96677075409718,0.996732497259084,0.00173583630791481,1,2249.08218817443,-0.00338940884900384
"GASK1A",0.967065281023138,0.996758626818612,0.00170518413272423,1,2249.08218817443,-0.0621723547211277
"INSIG2",0.96708181689965,0.996758626818612,0.00170347131075801,1,2249.08218817443,0.0140624026813031
"MYO1F",0.96709141760785,0.996758626818612,0.00170247724416522,1,2249.08218817443,-0.00530298032105228
"CIPC",0.96737443207888,0.996758626818612,0.00167330420739939,1,2249.08218817443,-0.0195592787103624
"RHEB",0.967590158506146,0.996758626818612,0.00165123680914003,1,2249.08218817443,0.00787242638698881
"VPS45",0.967643405811505,0.996758626818612,0.00164581253595828,1,2249.08218817443,0.00929472267841911
"POLR2E",0.967657729084996,0.996758626818612,0.00164435495773029,1,2249.08218817443,0.0105420811241537
"POLE",0.967763738887287,0.996758626818612,0.00163358719820336,1,2249.08218817443,-0.0342670574147957
"MAPKAPK3",0.967849434334152,0.996758626818612,0.00162490872936441,1,2249.08218817443,-0.0127147997348019
"ALG3",0.967987810219537,0.996758626818612,0.00161094413006868,1,2249.08218817443,-0.0164288312408559
"ZNF736",0.968068073914608,0.996758626818612,0.00160287174994743,1,2249.08218817443,-0.013867598275008
